Year,icd104n,freq
2022,COVID-19,230
2021,COVID-19,220
2023,COVID-19,210
2024,COVID-19,142
2025,Influenza,121
2025,COVID-19,109
2024,Dengue,95
2023,Dengue,60
2022,Monkeypox,53
2023,Other,40
2022,Other,39
2022,Hepatitis,38
2025,Chikungunya,38
2025,Monkeypox,35
2024,Other,32
2025,Cholera,31
2022,Cholera,29
2025,Other,27
2021,Poliomyelitis,23
2023,Cholera,19
2024,Yellow fever,13
2022,Yellow fever,12
2023,Yellow fever,12
2021,Other,11
2021,Yellow fever,10
2024,Influenza,10
2023,Influenza,9
2024,Monkeypox,8
2023,Measles,7
2025,Measles,7
2022,Poliomyelitis,6
2021,Influenza,5
2022,Dengue,5
2022,Influenza,5
2023,Poliomyelitis,5
2023,Chikungunya,5
2025,Yellow fever,5
2021,Cholera,2
2021,Monkeypox,2
2022,Measles,2
2025,Poliomyelitis,2
2021,Dengue,1
2023,Monkeypox,1
2024,Poliomyelitis,1
