"","id_outbreak","Year","icd10n","icd103n","icd104n","icd10c","icd103c","icd104c","Disease","Definition","Country","iso2","iso3","unsd_region","unsd_subregion","who_region","DONs"
"1","2025AFGA000","2025","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","Cholera","Intestinal infection due to Vibrio cholerae","Afghanistan","AF","AFG","Asia","Southern Asia","Eastern Mediterranean Region","DON2928"
"2","2025AFGJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Afghanistan","AF","AFG","Asia","Southern Asia","Eastern Mediterranean Region","DON2938"
"3","2025AGOA000","2025","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","Cholera","Intestinal infection due to Vibrio cholerae","Angola","AO","AGO","Africa","Sub-Saharan Africa","African Region","DON2928, DON2912"
"4","2025ALBJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Albania","AL","ALB","Europe","Southern Europe","European Region","DON2938"
"5","2025ALBU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Albania","AL","ALB","Europe","Southern Europe","European Region","Coronavirus dashboard"
"6","2025AREB04","2025","Viral infections characterized by skin and mucous membrane lesions","Monkeypox","Monkeypox","B00-B09","B04","B04","Monkeypox","A disease caused by an infection with monkeypox virus. In the first phase, this disease is characterised by lymphadenopathy, fever, headache, or malaise","United Arab Emirates","AE","ARE","Asia","Western Asia","Eastern Mediterranean Region","DON2936"
"7","2025AREJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","United Arab Emirates","AE","ARE","Asia","Western Asia","Eastern Mediterranean Region","DON2938"
"8","2025ARGB05","2025","Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","Measles","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies.","Argentina","AR","ARG","Americas","Latin America and the Caribbean","Region of the Americas","DON2916"
"9","2025ARGJ090","2025","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","Influenza due to identified zoonotic or pandemic influenza virus","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission.","Argentina","AR","ARG","Americas","Latin America and the Caribbean","Region of the Americas","DON2938"
"10","2025ARGU071","2025","Provisional assignment of new diseases of uncertain etiology or emergency use","Emergency use of U07","COVID-19, virus identified","U00-U49","U07","U071","COVID-19","Infectious disease caused by the SARS-CoV-2 virus.","Argentina","AR","ARG","Americas","Latin America and the Caribbean","Region of the Americas","Coronavirus dashboard"
